sample_id,x1,x2,label
class_1_009,2.513773,0.806506,class_1
class_0_053,1.302934,0.066012,class_0
class_1_076,1.514003,2.965961,class_1
class_1_003,1.051599,3.080982,class_1
class_1_193,2.009665,3.066834,class_1
class_1_156,2.667607,1.065372,class_1
class_0_141,2.242787,1.775065,class_0
class_0_091,2.292343,-1.24947,class_0
class_0_198,-2.374009,-0.287111,class_0
class_0_135,-1.411976,-0.03363,class_0
class_0_017,0.682323,1.242681,class_0
class_1_072,3.754096,1.193991,class_1
class_0_120,-0.459358,0.685271,class_0
class_1_135,2.922657,2.248822,class_1
class_0_103,1.27361,1.587853,class_0
class_0_094,-0.43938,0.057654,class_0
class_1_027,2.062207,2.366906,class_1
class_1_169,4.249545,2.308879,class_1
class_0_157,0.266709,0.905107,class_0
class_1_116,5.22923,1.815761,class_1
class_0_024,-2.469159,-0.41738,class_0
class_0_084,-1.518166,-1.23745,class_0
class_1_152,3.048618,-0.006876,class_1
class_1_050,3.430482,1.460917,class_1
class_0_190,0.06212,-1.804074,class_0
class_0_164,-0.960703,-1.192627,class_0
class_1_125,4.372923,1.261216,class_1
class_0_154,-0.236743,-0.087772,class_0
class_1_196,2.103427,1.590515,class_1
class_0_160,-2.85357,-1.174013,class_0
class_1_167,1.497814,1.30261,class_1
class_0_100,2.042422,1.013157,class_0
class_1_141,2.673422,-1.491796,class_1
class_0_174,2.01731,0.4857,class_0
class_1_113,3.683021,0.950906,class_1
class_1_066,3.950094,1.451513,class_1
class_0_083,0.718527,1.035491,class_0
class_0_175,-0.47723,0.4984,class_0
class_1_073,3.298497,3.006096,class_1
class_1_165,2.691711,3.99493,class_1
class_1_130,5.075196,0.75005,class_1
class_0_011,-2.297338,1.196182,class_0
class_1_095,1.878977,1.529343,class_1
class_1_175,4.178834,2.287053,class_1
class_1_056,2.999448,2.844236,class_1
class_1_030,4.28647,0.092357,class_1
class_1_195,3.298612,2.104946,class_1
class_0_068,-2.895511,-0.863983,class_0
class_0_121,1.267096,-0.123437,class_0
class_1_067,1.409954,3.550317,class_1
class_1_177,3.123318,2.496993,class_1
