split,class,count,source_path
train,B-52,112,experiment\plane_dataset_4_1\train\B-52
train,B2,657,experiment\plane_dataset_4_1\train\B2
train,ET,112,experiment\plane_dataset_4_1\train\ET
train,F-16,443,experiment\plane_dataset_4_1\train\F-16
train,FA-18,110,experiment\plane_dataset_4_1\train\FA-18
train,H-6,112,experiment\plane_dataset_4_1\train\H-6
train,IL-78M,99,experiment\plane_dataset_4_1\train\IL-78M
train,J-10,111,experiment\plane_dataset_4_1\train\J-10
train,KC-10,95,experiment\plane_dataset_4_1\train\KC-10
train,KC-135,84,experiment\plane_dataset_4_1\train\KC-135
train,KC-46,104,experiment\plane_dataset_4_1\train\KC-46
train,MQ-25,85,experiment\plane_dataset_4_1\train\MQ-25
train,S-27,111,experiment\plane_dataset_4_1\train\S-27
train,T-160,112,experiment\plane_dataset_4_1\train\T-160
train,T-95,111,experiment\plane_dataset_4_1\train\T-95
train,YY-20,72,experiment\plane_dataset_4_1\train\YY-20
test,B-52,28,experiment\plane_dataset_4_1\test\B-52
test,B2,165,experiment\plane_dataset_4_1\test\B2
test,ET,28,experiment\plane_dataset_4_1\test\ET
test,F-16,111,experiment\plane_dataset_4_1\test\F-16
test,FA-18,28,experiment\plane_dataset_4_1\test\FA-18
test,H-6,28,experiment\plane_dataset_4_1\test\H-6
test,IL-78M,25,experiment\plane_dataset_4_1\test\IL-78M
test,J-10,28,experiment\plane_dataset_4_1\test\J-10
test,KC-10,24,experiment\plane_dataset_4_1\test\KC-10
test,KC-135,21,experiment\plane_dataset_4_1\test\KC-135
test,KC-46,26,experiment\plane_dataset_4_1\test\KC-46
test,MQ-25,22,experiment\plane_dataset_4_1\test\MQ-25
test,S-27,28,experiment\plane_dataset_4_1\test\S-27
test,T-160,28,experiment\plane_dataset_4_1\test\T-160
test,T-95,28,experiment\plane_dataset_4_1\test\T-95
test,YY-20,18,experiment\plane_dataset_4_1\test\YY-20
