method,setting,split,accuracy,precision_F,recall_F,precision_M,recall_M,cm_FF,cm_FM,cm_MF,cm_MM
Gaussian Bayes,"height; P(F)=0.50, P(M)=0.50",train,0.86,0.875,0.84,0.8461538461538461,0.88,42,8,6,44
Gaussian Bayes,"height; P(F)=0.50, P(M)=0.50",test1,0.9428571428571428,0.9333333333333333,0.9333333333333333,0.95,0.95,14,1,1,19
Gaussian Bayes,"height; P(F)=0.50, P(M)=0.50",test2,0.91,0.6666666666666666,0.92,0.9826839826839827,0.908,46,4,23,227
Gaussian Bayes,"height; P(F)=0.75, P(M)=0.25",train,0.84,0.765625,0.98,0.9722222222222222,0.7,49,1,15,35
Gaussian Bayes,"height; P(F)=0.75, P(M)=0.25",test1,0.8857142857142857,0.8235294117647058,0.9333333333333333,0.9444444444444444,0.85,14,1,3,17
Gaussian Bayes,"height; P(F)=0.75, P(M)=0.25",test2,0.78,0.42857142857142855,0.96,0.9893617021276596,0.744,48,2,64,186
Gaussian Bayes,"height; P(F)=0.90, P(M)=0.10",train,0.67,0.6049382716049383,0.98,0.9473684210526315,0.36,49,1,32,18
Gaussian Bayes,"height; P(F)=0.90, P(M)=0.10",test1,0.8,0.6818181818181818,1.0,1.0,0.65,15,0,7,13
Gaussian Bayes,"height; P(F)=0.90, P(M)=0.10",test2,0.51,0.25380710659898476,1.0,1.0,0.412,50,0,147,103
Gaussian Bayes,"weight; P(F)=0.50, P(M)=0.50",train,0.82,0.7857142857142857,0.88,0.8636363636363636,0.76,44,6,12,38
Gaussian Bayes,"weight; P(F)=0.50, P(M)=0.50",test1,0.9428571428571428,0.9333333333333333,0.9333333333333333,0.95,0.95,14,1,1,19
Gaussian Bayes,"weight; P(F)=0.50, P(M)=0.50",test2,0.8533333333333334,0.5365853658536586,0.88,0.9724770642201835,0.848,44,6,38,212
Gaussian Bayes,"weight; P(F)=0.75, P(M)=0.25",train,0.79,0.7230769230769231,0.94,0.9142857142857143,0.64,47,3,18,32
Gaussian Bayes,"weight; P(F)=0.75, P(M)=0.25",test1,0.8857142857142857,0.7894736842105263,1.0,1.0,0.8,15,0,4,16
Gaussian Bayes,"weight; P(F)=0.75, P(M)=0.25",test2,0.74,0.3870967741935484,0.96,0.9886363636363636,0.696,48,2,76,174
Gaussian Bayes,"weight; P(F)=0.90, P(M)=0.10",train,0.74,0.6621621621621622,0.98,0.9615384615384616,0.5,49,1,25,25
Gaussian Bayes,"weight; P(F)=0.90, P(M)=0.10",test1,0.7142857142857143,0.6,1.0,1.0,0.5,15,0,10,10
Gaussian Bayes,"weight; P(F)=0.90, P(M)=0.10",test2,0.5566666666666666,0.27071823204419887,0.98,0.9915966386554622,0.472,49,1,132,118
