dataset,method,setting,accuracy,macro_precision,macro_recall
模拟二类高斯,参数最小错误率,标准化原始特征；高斯full,0.975,0.9714285714285714,0.9787234042553192
模拟二类高斯,参数最小风险,标准化原始特征；高斯full；首类漏判损失2,0.9875,0.9852941176470589,0.9893617021276595
模拟二类高斯,非参数最小错误率,标准化原始特征；Parzen窗 h=0.8,0.9625,0.9597186700767264,0.9635718891038041
模拟二类高斯,非参数最小风险,标准化原始特征；Parzen窗 h=0.8；首类漏判损失2,0.9875,0.9895833333333333,0.9848484848484849
模拟三类高斯,参数最小错误率,标准化原始特征；高斯full,0.9,0.9014613450659962,0.9002297410192147
模拟三类高斯,参数最小风险,标准化原始特征；高斯full；首类漏判损失2,0.9,0.9066709326507758,0.900187969924812
模拟三类高斯,非参数最小错误率,标准化原始特征；Parzen窗 h=0.8,0.8916666666666667,0.8943194470704396,0.8939640768588136
模拟三类高斯,非参数最小风险,标准化原始特征；Parzen窗 h=0.8；首类漏判损失2,0.85,0.8742561301701087,0.8521303258145364
UCI Iris,参数最小错误率,标准化原始特征；高斯full,1.0,1.0,1.0
UCI Iris,参数最小风险,标准化原始特征；高斯full；首类漏判损失2,1.0,1.0,1.0
UCI Iris,非参数最小错误率,标准化原始特征；Parzen窗 h=0.8,0.9666666666666667,0.9629629629629629,0.9777777777777779
UCI Iris,非参数最小风险,标准化原始特征；Parzen窗 h=0.8；首类漏判损失2,0.9666666666666667,0.9629629629629629,0.9777777777777779
MNIST,参数最小错误率,PCA 64维，累计方差 66.50\%；高斯diag,0.6265,0.6658386733388729,0.623994903529896
MNIST,参数最小风险,PCA 64维，累计方差 66.50\%；高斯diag；首类漏判损失2,0.623,0.6601869221518849,0.6205656629607856
MNIST,非参数最小错误率,PCA 64维，累计方差 66.50\%；kNN k=5,0.8975,0.8978412318908173,0.8973268509541652
MNIST,非参数最小风险,PCA 64维，累计方差 66.50\%；kNN k=5；首类漏判损失2,0.8945,0.8947978482493216,0.8940592705805536
CIFAR-10,参数最小错误率,PCA 64维，累计方差 86.23\%；高斯diag,0.3305,0.34259841830422516,0.33049999999999996
CIFAR-10,参数最小风险,PCA 64维，累计方差 86.23\%；高斯diag；首类漏判损失2,0.332,0.3381338869424976,0.33199999999999996
CIFAR-10,非参数最小错误率,PCA 64维，累计方差 86.23\%；kNN k=7,0.303,0.36486211780755695,0.303
CIFAR-10,非参数最小风险,PCA 64维，累计方差 86.23\%；kNN k=7；首类漏判损失2,0.2885,0.3625308104553365,0.28850000000000003
CIFAR-100,参数最小错误率,PCA 64维，累计方差 87.57\%；高斯diag,0.165,0.16611294971592755,0.165
CIFAR-100,参数最小风险,PCA 64维，累计方差 87.57\%；高斯diag；首类漏判损失2,0.166,0.1667996164236469,0.16599999999999998
CIFAR-100,非参数最小错误率,PCA 64维，累计方差 87.57\%；kNN k=5,0.1065,0.1543203459975179,0.1065
CIFAR-100,非参数最小风险,PCA 64维，累计方差 87.57\%；kNN k=5；首类漏判损失2,0.1055,0.15372722470644826,0.10550000000000001
