dataset,method,feature,setting,test_accuracy,test_error,loo_error,loo_n
模拟二类高斯,Gaussian Bayes,标准化原始特征,full Gaussian,0.975,0.025000000000000022,0.05106382978723404,235
模拟二类高斯,Non-parametric,标准化原始特征,Parzen h=0.8,0.9625,0.03749999999999998,0.059574468085106386,235
模拟二类高斯,Fisher/LDA,标准化原始特征,multi-class LDA,0.9625,0.03749999999999998,0.059574468085106386,235
模拟三类高斯,Gaussian Bayes,标准化原始特征,full Gaussian,0.9,0.09999999999999998,0.12916666666666668,240
模拟三类高斯,Non-parametric,标准化原始特征,Parzen h=0.8,0.8916666666666667,0.10833333333333328,0.10833333333333334,240
模拟三类高斯,Fisher/LDA,标准化原始特征,multi-class LDA,0.9,0.09999999999999998,0.12916666666666668,240
UCI Iris,Gaussian Bayes,标准化原始特征,full Gaussian,1.0,0.0,0.023255813953488372,86
UCI Iris,Non-parametric,标准化原始特征,Parzen h=0.8,0.9666666666666667,0.033333333333333326,0.09302325581395349,86
UCI Iris,Fisher/LDA,标准化原始特征,multi-class LDA,1.0,0.0,0.046511627906976744,86
MNIST,Gaussian Bayes,PCA 64维，累计方差67.07%,diag Gaussian,0.622,0.378,0.43333333333333335,150
MNIST,Non-parametric,PCA 64维，累计方差67.07%,kNN k=5,0.8955,0.10450000000000004,0.4,150
MNIST,Fisher/LDA,PCA 64维，累计方差67.07%,multi-class LDA,0.8045,0.1955,0.32666666666666666,150
CIFAR-10,Gaussian Bayes,PCA 64维，累计方差86.49%,diag Gaussian,0.3372222222222222,0.6627777777777778,0.8333333333333334,120
CIFAR-10,Non-parametric,PCA 64维，累计方差86.49%,kNN k=7,0.29555555555555557,0.7044444444444444,0.85,120
CIFAR-10,Fisher/LDA,PCA 64维，累计方差86.49%,multi-class LDA,0.36333333333333334,0.6366666666666667,0.825,120
CIFAR-100,Gaussian Bayes,PCA 64维，累计方差87.62%,diag Gaussian,0.14866666666666667,0.8513333333333333,1.0,300
CIFAR-100,Non-parametric,PCA 64维，累计方差87.62%,kNN k=5,0.11,0.89,0.99,300
CIFAR-100,Fisher/LDA,PCA 64维，累计方差87.62%,multi-class LDA,0.14533333333333334,0.8546666666666667,0.9866666666666667,300
