method,split,accuracy,error_rate,cm_FF,cm_FM,cm_MF,cm_MM
K-L PCA 主成分,train,0.86,0.14,46,4,10,40
类均值方向,train,0.86,0.14,46,4,10,40
Fisher,train,0.88,0.12,46,4,8,42
Gaussian Bayes,train,0.88,0.12,44,6,6,44
K-L PCA 主成分,test1,1.0,0.0,15,0,0,20
类均值方向,test1,1.0,0.0,15,0,0,20
Fisher,test1,0.9714285714285714,0.02857142857142858,14,1,0,20
Gaussian Bayes,test1,0.9714285714285714,0.02857142857142858,15,0,1,19
K-L PCA 主成分,test2,0.8966666666666666,0.10333333333333339,48,2,29,221
类均值方向,test2,0.8966666666666666,0.10333333333333339,48,2,29,221
Fisher,test2,0.9033333333333333,0.09666666666666668,48,2,27,223
Gaussian Bayes,test2,0.8933333333333333,0.10666666666666669,49,1,31,219
