method,n_components,train_accuracy,test_accuracy
Eigenfaces+NearestCentroid,10,0.9333333333333333,0.7
Eigenfaces+1NN,10,1.0,0.80625
Eigenfaces+SVM,10,0.9958333333333333,0.85
Eigenfaces+NearestCentroid,20,0.975,0.79375
Eigenfaces+1NN,20,1.0,0.86875
Eigenfaces+SVM,20,1.0,0.9125
Eigenfaces+NearestCentroid,40,0.9958333333333333,0.83125
Eigenfaces+1NN,40,1.0,0.8875
Eigenfaces+SVM,40,1.0,0.91875
Eigenfaces+NearestCentroid,60,1.0,0.86875
Eigenfaces+1NN,60,1.0,0.875
Eigenfaces+SVM,60,1.0,0.95
Eigenfaces+NearestCentroid,80,1.0,0.88125
Eigenfaces+1NN,80,1.0,0.825
Eigenfaces+SVM,80,1.0,0.925
Eigenfaces+NearestCentroid,120,1.0,0.94375
Eigenfaces+1NN,120,1.0,0.78125
Eigenfaces+SVM,120,1.0,0.9625
Eigenfaces+NearestCentroid,160,1.0,0.95
Eigenfaces+1NN,160,1.0,0.75
Eigenfaces+SVM,160,1.0,0.95625
