method,n_components,train_accuracy,test_accuracy
PCA+NearestCentroid,8,0.1707509881422925,0.1650943396226415
PCA+1NN,8,1.0,0.4858490566037736
PCA+NearestCentroid,16,0.18221343873517787,0.18396226415094338
PCA+1NN,16,1.0,0.5235849056603774
PCA+NearestCentroid,32,0.19446640316205532,0.19654088050314467
PCA+1NN,32,1.0,0.5408805031446541
PCA+NearestCentroid,64,0.20474308300395258,0.19968553459119498
PCA+1NN,64,1.0,0.539308176100629
PCA+NearestCentroid,128,0.20869565217391303,0.19811320754716982
PCA+1NN,128,1.0,0.529874213836478
