dataset,method,n_clusters,seed,inertia,silhouette,ari,iterations,gender_accuracy_if_2
train,C-means,2,2028,80.39495965931141,0.5108275743372019,0.484966194849866,5,0.85
train,C-means,3,2029,52.4481411961013,0.43330907092300874,0.31849397812386104,16,
train,C-means,4,2030,42.183796357348456,0.3891094917840615,0.31409525839803876,12,
train,C-means,5,2031,34.83581725012323,0.3660372165076662,0.23813960360685746,4,
train,Hierarchical Ward,2,,,0.5049310780156862,0.37885106955468856,,0.81
combined,C-means,2,2028,360.0074622491665,0.4850245130122889,0.46929540948720705,6,0.845
combined,C-means,3,2029,244.41883870578224,0.43925847141282987,0.3837823726661272,26,
combined,C-means,4,2030,189.0085212481659,0.377500416174912,0.28398455453475424,18,
combined,C-means,5,2031,158.64687005882138,0.35508482804030117,0.227247409003201,10,
combined,Hierarchical Ward,2,,,0.47390006074699587,0.41722567325486376,,0.825
train,C-means different init,2,0,80.31927508258649,0.5176479036962669,0.5432092721553845,4,0.87
train,C-means different init,2,1,80.31927508258649,0.5176479036962669,0.5432092721553845,4,0.87
train,C-means different init,2,2,80.39495965931141,0.5108275743372019,0.484966194849866,9,0.85
train,C-means different init,2,3,80.39495965931141,0.5108275743372019,0.484966194849866,2,0.85
train,C-means different init,2,4,80.31927508258649,0.5176479036962669,0.5432092721553845,2,0.87
train,C-means different init,2,5,80.31927508258649,0.5176479036962669,0.5432092721553845,3,0.87
train,C-means different init,2,6,80.39495965931141,0.5108275743372019,0.484966194849866,8,0.85
train,C-means different init,2,7,80.31927508258649,0.5176479036962669,0.5432092721553845,4,0.87
train,C-means different init,2,8,80.39495965931141,0.5108275743372019,0.484966194849866,9,0.85
train,C-means different init,2,9,80.39495965931141,0.5108275743372019,0.484966194849866,8,0.85
